energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
53.1622,0.0006,2.140725,0.03170991406484729,0.00000000015,G,0.000000000044,437.0113,383.8491,M1+E2,0.08,3,5.66,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
79.6142,0.0012,2.649535,0.05029861199874207,0.000000000172,G,0.000000006283,160.6121,80.9979,M1+E2(+E0),0.124,15,1.77,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
80.9979,0.0011,32.94855,0.3262420184464288,0.000000006283,G,,80.9979,0.0,M1+E2,0.158,5,1.703,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
160.612,0.0016,0.637874,0.0053344433861463,0.000000000172,G,,160.6121,0.0,M1+E2,0.96,5,0.294,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
223.2368,0.0013,0.452965,0.0033984224649092703,0.000000000044,G,0.000000000172,383.8491,160.6121,M1+E2,-0.114,14,0.0975,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
276.3989,0.0012,7.16057,0.04865540772617161,0.00000000015,G,0.000000000172,437.0113,160.6121,E2,,,0.0566,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
302.8508,0.0005,18.335775,0.12500766826479087,0.000000000044,G,0.000000006283,383.8491,80.9979,M1+E2,0.022,20,0.0434,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
356.0129,0.0007,62.05,0.19,0.00000000015,G,0.000000006283,437.0113,80.9979,E2,,,0.0254,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
383.8485,0.0012,8.941405,0.06219544730926855,0.000000000044,G,,383.8491,0.0,E2,,,0.0202,,56,77,Ba,,0,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100,,517.4,10,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
12.327,0.006,1.42,0.05,0.000000007,G,332957125.9579202,12.327,0.0,M1+E2,0.013,LE,65,,56,77,Ba,,288.252,0.009,11/2-,38.93,,10,h,140148,360,IT,99.9896,0.0005,,,56,77,Ba,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
275.925,0.007,17.7,0.2,140148,G,0.000000007,288.252,12.327,M4,,,4.65,,56,77,Ba,,288.252,0.009,11/2-,38.93,,10,h,140148,360,IT,99.9896,0.0005,,,56,77,Ba,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2024-10-03
