Peak nr. 	 Energy (keV) 	 ROId 	 ROIu 	 Centroid 	 Sigma 	 FWHM 
1	5.633	175	188	182.57627118644072	1.6894828195749567	3.9784279331915
2	6.205	194	206	201.06747967479677	1.7764034156422126	4.1831102912225955
3	6.587	207	218	213.38888888888886	1.4118108501341984	3.3245604261130133
4	7.178	225	235	0	0	0
5	39.522	1261	1281	1273.3807531380753	3.588307059037612	8.44981722876295
6	40.117	1282	1308	1293.670025188917	4.397667489044446	10.355715356551643
7	45.37	1448	1472	1461.5232974910393	4.52258314490849	10.64986924129341
8	46.578	1491	1505	1494.4000000000005	0	0
1	4.285	132	144	139.06280991735537	1.5102660027719865	3.5564045886475295
2	4.619	144	155	150.2813036020583	1.492040752681389	3.513487405229189
3	4.936	156	162	160.78703703703707	0	0
4	5.28	168	173	170.33333333333334	0	0
5	30.625	981	989	995.5135135135135	0	0
6	30.973	991	1008	998.9215143120958	3.142701568017935	7.400496506399994
7	34.964	1116	1136	1126.905996758509	3.5871976149778684	8.447204687702184
8	35.822	1142	1164	1155.1333333333334	3.4670329476960986	8.164238525893728
